instance Boomer-SAT-W2 XGBoost-MaxSAT
instance1098 0.001 0.01
instance1099 0.001 0.009
instance1100 0.001 0.06
instance1101 0.001 0.06
instance1102 0.001 0.07
instance1103 0.001 0.051
instance1104 0.001 0.012
instance1105 0.001 0.008
instance1106 0.001 0.063
instance1107 0.001 0.05
instance1108 0.001 0.05
instance1109 0.001 0.077
instance1110 0.001 0.009
instance1111 0.001 0.046
instance1112 0.001 0.044
instance1113 0.001 0.051
instance1114 0.001 0.068
instance1115 0.001 0.053
instance1116 0.001 0.053
instance1117 0.001 0.024
instance1118 0.001 0.065
instance1119 0.001 0.007
instance1120 0.001 0.008
instance1121 0.001 0.008
instance1122 0.001 0.071
instance1123 0.001 0.036
instance1124 0.001 0.007
instance1125 0.001 0.034
instance1126 0.001 0.083
instance1127 0.001 0.047
instance1128 0.001 0.011
instance1129 0.001 0.031
instance1130 0.001 0.077
instance1131 0.001 0.066
instance1132 0.001 0.031
instance1133 0.001 0.047
instance1134 0.001 0.052
instance1135 0.001 0.007
instance1136 0.001 0.037
instance1137 0.001 0.006
instance1138 0.001 0.042
instance1139 0.001 0.054
instance1140 0.001 0.065
