instance Boomer-SAT-W2 Boomer-MaxSAT
instance981 0.001 0.005
instance982 0.001 0.003
instance983 0.001 0.003
instance984 0.001 0.004
instance985 0.002 0.006
instance986 0.002 0.005
instance987 0.002 0.006
instance988 0.001 0.005
instance989 0.001 0.003
instance990 0.001 0.004
instance991 0.001 0.003
instance992 0.001 0.002
instance993 0.001 0.003
instance994 0.001 0.002
instance995 0.001 0.003
instance996 0.001 0.005
instance997 0.001 0.003
instance998 0.001 0.003
instance999 0.001 0.003
instance1000 0.001 0.002
instance1001 0.001 0.005
instance1002 0.001 0.003
instance1003 0.001 0.002
instance1004 0.001 0.001
instance1005 0.001 0.004
instance1006 0.002 0.005
instance1007 0.001 0.003
instance1008 0.001 0.003
instance1009 0.001 0.006
instance1010 0.001 0.002
instance1011 0.001 0.002
instance1012 0.001 0.003
instance1013 0.001 0.004
instance1014 0.001 0.004
instance1015 0.001 0.003
instance1016 0.001 0.003
instance1017 0.001 0.004
instance1018 0.001 0.006
instance1019 0.001 0.003
instance1020 0.001 0.004
instance1021 0.001 0.006
instance1022 0.001 0.004
instance1023 0.001 0.005
instance1024 0.001 0.003
instance1025 0.001 0.002
instance1026 0.001 0.001
instance1027 0.001 0.004
instance1028 0.001 0.002
instance1029 0.001 0.009
instance1030 0.001 0.003
instance1031 0.001 0.004
instance1032 0.001 0.003
instance1033 0.001 0.006
instance1034 0.001 0.001
instance1035 0.001 0.003
instance1036 0.001 0.005
instance1037 0.001 0.006
instance1038 0.001 0.002
instance1039 0.001 0.004
instance1040 0.001 0.004
instance1041 0.001 0.004
instance1042 0.001 0.001
instance1043 0.001 0.003
instance1044 0.001 0.003
instance1045 0.001 0.002
instance1046 0.001 0.002
instance1047 0.001 0.004
instance1048 0.001 0.005
instance1049 0.001 0.007
instance1050 0.001 0.004
instance1051 0.001 0.004
instance1052 0.001 0.006
instance1053 0.001 0.008
instance1054 0.001 0.003
instance1055 0.001 0.002
instance1056 0.001 0.002
instance1057 0.001 0.005
instance1058 0.001 0.002
instance1059 0.001 0.007
instance1060 0.001 0.003
instance1061 0.001 0.005
instance1062 0.001 0.004
instance1063 0.001 0.009
instance1064 0.001 0.003
instance1065 0.001 0.004
instance1066 0.001 0.005
instance1067 0.001 0.005
instance1068 0.001 0.003
instance1069 0.001 0.007
instance1070 0.001 0.002
instance1071 0.001 0.009
instance1072 0.001 0.004
instance1073 0.001 0.003
instance1074 0.001 0.003
instance1075 0.001 0.003
instance1076 0.001 0.003
